
儿歌,#genre#
CCTV13,http://ott.js.chinamobile.com/PLTV/3/224/3221225560/index.m3u8
CCTV14,http://ott.js.chinamobile.com/PLTV/3/224/3221227656/index.m3u8
CCTV15,http://ott.js.chinamobile.com/PLTV/3/224/3221227723/index.m3u8
CCTV17,http://ott.js.chinamobile.com/PLTV/3/224/3221227726/index.m3u8

辽宁卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226500/1.m3u8
安徽卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226499/1.m3u8
北京卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226441/1.m3u8
东方卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226505/1.m3u8
东南卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226496/1.m3u8
广东卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226508/1.m3u8
湖北卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226503/1.m3u8
江苏卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226506/1.m3u8
江西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226243/1.m3u8
山东卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226501/1.m3u8
湖南卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226509/1.m3u8
深圳卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226495/1.m3u8
天津卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226502/1.m3u8
浙江卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226504/1.m3u8
黑龙江卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226498/1.m3u8
河北卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226507/1.m3u8
贵州卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226497/1.m3u8
卡酷少儿,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226558/1.m3u8
BTV影视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226486/1.m3u8
BTV文艺,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226440/1.m3u8
BTV新闻,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226437/1.m3u8
BTV生活,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226561/1.m3u8
BTV科教,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226559/1.m3u8
BTV财经,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226560/1.m3u8
BTV青年,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226562/1.m3u8
快乐垂钓,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226549/1.m3u8
茶频道,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226548/1.m3u8
淘BABY,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226554/1.m3u8
淘剧场,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226553/1.m3u8
淘娱乐,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226551/1.m3u8
淘电影,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/1.m3u8
萌宠TV,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226555/1.m3u8
大健康,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226556/1.m3u8
冬奥纪实,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226438/1.m3u8


湖南卫视,http://[2001:250:5405:13::47]/hls/hls71a15.m3u8
浙江卫视,http://[2001:250:5405:13::47]/hls/hls68a51.m3u8
东方卫视,http://[2001:250:5405:13::47]/hls/hls69a24.m3u8
江苏卫视,http://[2001:250:5405:13::47]/hls/hls68a52.m3u8
北京卫视,http://[2001:250:5405:13::47]/hls/hls69a21.m3u8
安徽卫视,http://[2001:250:5405:13::47]/hls/hls71a16.m3u8
深圳卫视,http://[2001:250:5405:13::47]/hls/hls70a20.m3u8
吉林卫视,http://[2001:250:5405:13::47]/hls/hls186a72.m3u8
黑龙江卫视,http://[2001:250:5405:13::47]/hls/hls71a14.m3u8
天津卫视,http://[2001:250:5405:13::47]/hls/hls69a22.m3u8
重庆卫视,http://[2001:250:5405:13::47]/hls/hls68a41.m3u8
湖北卫视,http://[2001:250:5405:13::47]/hls/hls70a17.m3u8
山东卫视,http://[2001:250:5405:13::47]/hls/hls70a18.m3u8
广东卫视,http://[2001:250:5405:13::47]/hls/hls70a19.m3u8
四川卫视,http://[2001:250:5405:13::47]/hls/hls67a42.m3u8
河南卫视,http://[2001:250:5405:13::47]/hls/hnhd.m3u8
东南卫视,http://[2001:250:5405:13::47]/hls/hls77a55.m3u8
海南卫视,http://[2001:250:5405:13::47]/hls/hls77a74.m3u8
河北卫视,http://[2001:250:5405:13::47]/hls/jlu_hbhd1.m3u8
江西卫视,http://[2001:250:5405:13::47]/hls/jxhd.m3u8
广西卫视,http://[2001:250:5405:13::47]/hls/gxhd.m3u8
贵州卫视,http://[2001:250:5405:13::47]/hls/hls186a71.m3u8
金鹰纪实,http://[2001:250:5405:13::47]/hls/hls75a26.m3u8
纪实人文,http://[2001:250:5405:13::47]/hls/docuchina.m3u8
全纪实,http://[2001:250:5405:13::47]/hls/hls184a639.m3u8
足球频道,http://[2001:250:5405:13::47]/hls/zqhd.m3u8
动漫秀场,http://[2001:250:5405:13::47]/hls/hls184a636.m3u8
时光剧场,http://[2001:250:5405:13::47]/hls/hls78a48.m3u8
快乐垂钓,http://[2001:250:5405:13::47]/hls/hls186a69.m3u8
茶频道,http://[2001:250:5405:13::47]/hls/hls186a70.m3u8
极速汽车,http://[2001:250:5405:13::47]/hls/hls184a94.m3u8
金色频道,http://[2001:250:5405:13::47]/hls/hls184a90.m3u8
